"Cache Hit","Загрузка из кеша"
"Cache Miss","Загрузка без кеша"
"Cache Miss (Denied by configuration)","Загрузка без кеша (отклонено согласно конфигурации)"
"Crawler - Automatic Cache Generation","Краулер - Автоматическая генерация кеша"
"Crawler Thread Number","Количество потоков краулера"
"Debug","Дебаг"
"Enable Page Cache Auto Generation","Включить автоматическую генерацию кеша"
"Enable Page Cache Debug","Включить режим дебага"
"Full Page Cache","Full Page Cache"
"Full Page Cache by PotatoCommerce","Full Page Cache by PotatoCommerce"
"Full page caching.","Полностроничное кеширование (Full Page Cache)"
"General","Общее"
"Ip Address(es)","IP адрес(а)"
"Max. Cache Size (Mb)","Максимальный размер кеша (Mb)"
"Note: If this option is enabled, then Crawler will be disabled.","Внимание: Краулер будет отключен, если эта опция включена."
"Number of parallel requests for cache auto-generation process.","Количество параллельных запросов для автоматической генерации кеша"
"PotatoCommerce - Full Page Cache","PotatoCommerce - Full Page Cache"
"PotatoCommerce Full Page Cache","PotatoCommerce Full Page Cache"
"Separate cache for each unique user-agent","Разделять кеш для разных юзер-агентов"
"Time to first byte: ","Время отклика (Time to first byte): "